tx_lat,tx_lon,tx_el,rx_lat,rx_lon,rx_el,frequency_Hz,pathloss_dB,pl_los_index,propagation_delay_s,propagation_distance_m,rays_count,h_bar,SNR_dB,capacity,loss_dB
34.07,-118.4427,112.617782064714,34.0674,-118.44225,109.278806836344,2400000000,137.434940883667,1,1.14556518301068e-06,343.431802013992,44,0,-Inf,0,137.434946526258
34.07,-118.44265,112.807113969699,34.0674,-118.44225,109.278806836344,2400000000,137.035171425448,1,1.13102032585452e-06,339.071363535886,45,0,-Inf,0,137.035177019461
34.07,-118.4426,112.996441582218,34.0674,-118.44225,109.278806836344,2400000000,136.609911436582,1,1.11658580282754e-06,334.744002397571,47,0,-Inf,0,136.60991699672
34.07,-118.44255,113.185764902271,34.0674,-118.44225,109.278806836344,2400000000,136.155890206249,1,1.10228366770633e-06,330.456330154935,59,0,-Inf,0,136.155895889986
34.07,-118.4425,113.375083929859,34.0674,-118.44225,109.278806836344,2400000000,135.669330079263,1,1.08814199440516e-06,326.216763155745,76,0,-Inf,0,135.669335698884
34.07,-118.44245,113.564406291582,34.0674,-118.44225,109.278806836344,2400000000,135.145938234208,1,1.07419694820656e-06,322.036143478945,86,0,-Inf,0,135.145943845247
34.07,-118.4424,113.753747250885,34.0674,-118.44225,109.278806836344,2400000000,134.581014443055,1,1.0604956962015e-06,317.928611462669,98,0,-Inf,0,134.581020061646
34.07,-118.44235,113.943076286465,34.0674,-118.44225,109.278806836344,2400000000,127.518945773318,1,1.01195037585309e-06,303.375090551023,62,0,-Inf,0,127.518951387593
34.07,-118.4423,114.132393400185,34.0674,-118.44225,109.278806836344,2400000000,121.934400642197,26,1.14163738101905e-06,342.254276600384,35,0,-Inf,0,121.934406286993
34.07,-118.44225,114.321713850833,34.0674,-118.44225,109.278806836344,2400000000,120.808918957071,5,9.86056842420211e-07,295.612404516874,37,0.0187855011324804,-32.4853893226692,2.87263953851813e-07,120.808924618285
34.07,-118.4422,114.495168496855,34.0674,-118.44225,109.278806836344,2400000000,110.300297838659,5,9.81372531943572e-07,294.208083565047,38,0.0802480123040219,-10.7808409388101,0.000775965144078516,110.30030346236
34.07,-118.44215,114.571633987129,34.0674,-118.44225,109.278806836344,2400000000,103.518609572011,30,1.04040883301322e-06,311.906721373945,37,0.115458545159863,-1.65420122964743,0.0130808578071296,103.518615223909
34.07,-118.4421,114.648095184006,34.0674,-118.44225,109.278806836344,2400000000,93.1787066600779,13,9.7502550918092e-07,292.30529401005,21,0.0999460629792749,6.90748599521511,0.0690276982936006,93.1787123057349
34.07,-118.44205,114.724552088417,34.0674,-118.44225,109.278806836344,2400000000,89.2714119562372,1,9.64160848251937e-07,289.048150604813,22,0.111346707366606,10.2613594577559,0.178454818338159,89.2714175704459
34.07,-118.442,114.801004700363,34.0674,-118.44225,109.278806836344,2400000000,89.2814105721234,1,9.65271364862838e-07,289.381075109245,22,0.147042021048752,13.0047429483858,0.517904708674663,89.2814161291629
34.07,-118.44195,114.877460648306,34.0674,-118.44225,109.278806836344,2400000000,89.2935908824971,1,9.66625924137391e-07,289.78716176367,17,0.118015494213655,11.0542709898788,0.23578054657084,89.2935964375136
34.07,-118.4419,114.953927562572,34.0674,-118.44225,109.278806836344,2400000000,89.3079345217253,1,9.68223502335122e-07,290.266103658415,10,0.0788304613376315,7.65760278075591,0.051353558722372,89.3079401394484
34.07,-118.44185,115.030390184373,34.0674,-118.44225,109.278806836344,2400000000,106.667927214384,1,9.70250029013072e-07,290.8736410724,21,0.0478449355318055,-13.7237652879346,0.000140103462907792,106.667932862012
34.07,-118.4418,115.106840883382,34.0674,-118.44225,109.278806836344,2400000000,111.467516928432,27,1.15738166028387e-06,346.974292780623,30,0.0230016486364479,-24.0228092321555,3.02281167482107e-06,111.467522521175
34.07,-118.44175,115.183302546851,34.0674,-118.44225,109.278806836344,2400000000,112.606534554192,7,1.10514308454376e-06,331.313561757074,18,0.00938127304056739,-31.4150605108155,9.1662569495616e-08,112.606540160245
34.06995,-118.4427,112.625059022568,34.0674,-118.44225,109.278806836344,2400000000,137.647801919401,1,1.14030429561805e-06,341.854627651294,47,0,-Inf,0,137.647807516323
34.06995,-118.44265,112.814390927553,34.0674,-118.44225,109.278806836344,2400000000,137.253720676182,1,1.1254394462323e-06,337.39825791614,45,0,-Inf,0,137.253726307778
34.06995,-118.4426,113.003718540072,34.0674,-118.44225,109.278806836344,2400000000,136.833574266,1,1.11064584166369e-06,332.963246839837,50,0,-Inf,0,136.833579861514
34.06995,-118.44255,113.193041860126,34.0674,-118.44225,109.278806836344,2400000000,136.383607310279,1,1.09593848365906e-06,328.554091832942,51,0,-Inf,0,136.383612966853
34.06995,-118.4425,113.382368516177,34.0674,-118.44225,109.278806836344,2400000000,135.899273925712,1,1.08133679753496e-06,324.176616458855,64,0,-Inf,0,135.899279536195
34.06995,-118.44245,113.571690878831,34.0674,-118.44225,109.278806836344,2400000000,135.375046225229,1,1.06686632924096e-06,319.838479200585,64,0,-Inf,0,135.375051798641
34.06995,-118.4424,113.761024206877,34.0674,-118.44225,109.278806836344,2400000000,134.804198335994,1,1.05256125238329e-06,315.549925047545,71,0,-Inf,0,134.804203941312
34.06995,-118.44235,113.950353242457,34.0674,-118.44225,109.278806836344,2400000000,134.178613139841,2,1.03846813196486e-06,311.324913836415,92,0,-Inf,0,134.17861872419
34.06995,-118.4423,114.139670356177,34.0674,-118.44225,109.278806836344,2400000000,126.748164461925,1,9.88012049579618e-07,296.198560877092,44,0.0295773236740756,-36.3620706347084,2.91665579511686e-07,126.748170046214
34.06995,-118.44225,114.313121667132,34.0674,-118.44225,109.278806836344,2400000000,122.508611460537,30,1.11779362136192e-06,335.106097284811,38,0.0412574434901758,-30.8574387208616,2.01574221154251e-06,122.508617015732
34.06995,-118.4422,114.389591449872,34.0674,-118.44225,109.278806836344,2400000000,114.545027222348,6,9.63544476388396e-07,288.8633669688,47,0.132465119195513,-13.5997274204337,0.00110468532265323,114.545032833758
34.06995,-118.44215,114.466041681357,34.0674,-118.44225,109.278806836344,2400000000,103.37492825993,3,9.60088988250077e-07,287.827437686224,28,0.206328257761433,0.883258112676304,0.0733715099964738,103.374933944901
34.06995,-118.4421,114.542510506697,34.0674,-118.44225,109.278806836344,2400000000,100.442864157741,2,9.56800498556633e-07,286.841573277919,33,0.237709140176954,4.76537189924132,0.225631650897342,100.442869750437
34.06995,-118.44205,114.618967412971,34.0674,-118.44225,109.278806836344,2400000000,89.1034496006272,1,9.45695612806563e-07,283.512412283096,23,0.179041557856101,12.6716614392628,0.671769943909773,89.1034552766992
34.06995,-118.442,114.695412394591,34.0674,-118.44225,109.278806836344,2400000000,89.1138411434176,1,9.46827692269934e-07,283.851801168071,20,0.207968876472963,14.1565546476362,1.08834176848553,89.1138467425314
34.06995,-118.44195,114.771875971928,34.0674,-118.44225,109.278806836344,2400000000,89.1264990510575,1,9.48208505860973e-07,284.265758668568,15,0.166781423809543,12.2346286053407,0.551222610031198,89.1265046730069
34.06995,-118.4419,114.848335255869,34.0674,-118.44225,109.278806836344,2400000000,89.1414034783219,1,9.49836967362195e-07,284.753959144778,10,0.112927916214613,8.93262759144292,0.137161284970563,89.1414090831538
34.06995,-118.44185,114.924797877669,34.0674,-118.44225,109.278806836344,2400000000,110.76911350184,1,9.52177770044234e-07,285.45571413452,35,0.0988214038238695,-13.491898828248,0.000630364593268046,110.769119117603
34.06995,-118.4418,115.001256207004,34.0674,-118.44225,109.278806836344,2400000000,105.878667384747,13,1.08146227746043e-06,324.214234394139,19,0.0197725220576119,-22.0312108166563,3.53327192759137e-06,105.87867299301
34.06995,-118.44175,115.077702612616,34.0674,-118.44225,109.278806836344,2400000000,125.526137696591,1,9.65514764120909e-07,289.454044371098,18,0.0573914500537268,-31.7028750578483,3.210561145293e-06,125.526143261422
34.0699,-118.4427,112.632356079295,34.0674,-118.44225,109.278806836344,2400000000,137.894125291805,1,1.13630520700125e-06,340.655731045103,37,0,-Inf,0,137.894130884349
34.0699,-118.44265,112.821680354886,34.0674,-118.44225,109.278806836344,2400000000,137.51045601212,1,1.12118722559378e-06,336.123474238959,39,0,-Inf,0,137.510461663972
34.0699,-118.4426,113.011007967405,34.0674,-118.44225,109.278806836344,2400000000,137.101211335951,1,1.10610738456403e-06,331.602651630401,41,0,-Inf,0,137.101216955872
34.0699,-118.44255,113.200331286527,34.0674,-118.44225,109.278806836344,2400000000,136.662484727673,1,1.09107401705692e-06,327.095761433429,55,0,-Inf,0,136.662490349478
34.0699,-118.4425,113.389657942578,34.0674,-118.44225,109.278806836344,2400000000,136.189431063591,1,1.07609806408567e-06,322.606083681284,54,0,-Inf,0,136.189436608444
34.0699,-118.44245,113.578980305232,34.0674,-118.44225,109.278806836344,2400000000,135.675960461411,1,1.0611941619378e-06,318.138006222582,51,0,-Inf,0,135.675966091876
34.0699,-118.4424,113.768306005746,34.0674,-118.44225,109.278806836344,2400000000,135.114309812235,1,1.04638231365386e-06,313.697525818018,62,0,-Inf,0,135.114315427617
34.0699,-118.44235,113.957642671652,34.0674,-118.44225,109.278806836344,2400000000,134.494441120625,2,1.03169052698782e-06,309.293038980993,81,0.00274539481116798,-62.3137300337319,6.3828273088371e-12,134.494446710732
34.0699,-118.4423,114.131090643816,34.0674,-118.44225,109.278806836344,2400000000,129.053907837311,4,9.60978550514141e-07,288.094121743911,64,0.0402866979716959,-38.7526304572023,3.12057619652078e-07,129.053913417498
34.0699,-118.44225,114.207541831769,34.0674,-118.44225,109.278806836344,2400000000,125.269929846246,5,9.52514269728337e-07,285.556594201933,40,0.082646377953022,-29.3768345827365,1.13746231912932e-05,125.269935423811
34.0699,-118.4422,114.284003985114,34.0674,-118.44225,109.278806836344,2400000000,118.280637513986,4,9.46003725448282e-07,283.604782129298,40,0.0951086653180328,-21.9157272832195,8.39516717767521e-05,118.280643139029
34.0699,-118.44215,114.360469474457,34.0674,-118.44225,109.278806836344,2400000000,98.8404376839844,3,9.41910369105783e-07,282.37762476991,28,0.186969981390825,2.93333020357569,0.0958398530168563,98.8404432405104
34.0699,-118.4421,114.436930672266,34.0674,-118.44225,109.278806836344,2400000000,104.73506208022,11,9.39959172790224e-07,281.792670830428,49,0.352307022463817,2.38946336009077,0.281162402904215,104.735067709279
34.0699,-118.44205,114.513387576677,34.0674,-118.44225,109.278806836344,2400000000,88.9321895357122,1,9.27231914090688e-07,277.977134661292,25,0.31111116833304,16.4696987303237,2.40419393457635,88.9321951256896
34.0699,-118.442,114.589832558297,34.0674,-118.44225,109.278806836344,2400000000,88.9429976257712,1,9.28386412261523e-07,278.323244505683,21,0.285431236692745,15.7589950302077,2.02443779731543,88.9430032390904
34.0699,-118.44195,114.666296136566,34.0674,-118.44225,109.278806836344,2400000000,88.9561617300045,1,9.29794516887118e-07,278.745383652512,15,0.239732882011948,14.2204152977846,1.33272886888617,88.956167329376
34.0699,-118.4419,114.742755419575,34.0674,-118.44225,109.278806836344,2400000000,88.9716603932682,1,9.31455076383265e-07,279.243206865517,11,0.151158836278202,10.2782706614449,0.314533494035919,88.9716659839571
34.0699,-118.44185,114.819218041375,34.0674,-118.44225,109.278806836344,2400000000,107.152629179018,10,1.02952608759944e-06,308.644156376561,25,0.0624055317115285,-15.1195128070956,0.000172839666125197,107.152634779005
34.0699,-118.4418,114.895668740384,34.0674,-118.44225,109.278806836344,2400000000,121.066610459776,18,1.1200475156826e-06,335.78179780328,20,0.0888030494978454,-25.6755766264636,3.07941343887663e-05,121.066616086503
34.0699,-118.44175,114.972122775391,34.0674,-118.44225,109.278806836344,2400000000,127.016211218185,1,9.51516992941843e-07,285.257618142804,22,0.0781190869696001,-32.0030905039081,5.55109897209891e-06,127.016216816367
34.06985,-118.4427,112.639642716385,34.0674,-118.44225,109.278806836344,2400000000,138.172079694217,1,1.13362915244628e-06,339.853470072326,34,0,-Inf,0,138.1720853561
34.06985,-118.44265,112.828966991976,34.0674,-118.44225,109.278806836344,2400000000,137.803297671284,1,1.11833675118964e-06,335.268923510875,45,0,-Inf,0,137.803303296602
34.06985,-118.4426,113.01830223389,34.0674,-118.44225,109.278806836344,2400000000,137.410464708317,1,1.10305852547706e-06,330.688626670625,43,0,-Inf,0,137.410470347499
34.06985,-118.44255,113.207617924549,34.0674,-118.44225,109.278806836344,2400000000,136.989863351739,1,1.08779759704289e-06,326.11351542398,47,0,-Inf,0,136.989868983749
